run,rc,stress,correlation
1.0,0.71,0.106872179506,0.810740834712
2.0,0.71,0.105360828366,0.815390773773
3.0,0.71,0.101803723127,0.805702591113
4.0,0.71,0.102164796923,0.80451800459
5.0,0.71,0.109865218896,0.819422176604
1.0,0.72,0.102271691272,0.801261663339
2.0,0.72,0.103611729272,0.809074328692
3.0,0.72,0.110115792501,0.807199333753
4.0,0.72,0.104932873926,0.827923672745
5.0,0.72,0.103654261447,0.805386748997
1.0,0.73,0.102153533679,0.791560148472
2.0,0.73,0.103874893684,0.822129074541
3.0,0.73,0.104844165832,0.808122869252
4.0,0.73,0.101824707394,0.785730451512
5.0,0.73,0.100558967002,0.791692347514
1.0,0.74,0.106522077726,0.815567819415
2.0,0.74,0.103796649519,0.813352439466
3.0,0.74,0.103641320606,0.796936460203
4.0,0.74,0.105819852882,0.807563547862
5.0,0.74,0.106331486321,0.817909121089
1.0,0.75,0.101102642561,0.799708253561
2.0,0.75,0.102161383707,0.799457182461
3.0,0.75,0.106142620994,0.803056699556
4.0,0.75,0.107440462812,0.790323688043
5.0,0.75,0.102105680796,0.808333717477
1.0,0.76,0.0994304405657,0.80263509008
2.0,0.76,0.107202753581,0.801408018382
3.0,0.76,0.100740747481,0.802259378683
4.0,0.76,0.103248489023,0.816814400204
5.0,0.76,0.104270244461,0.796710907858
1.0,0.77,0.100640972894,0.806157123449
2.0,0.77,0.102697303055,0.802619242019
3.0,0.77,0.105072118025,0.807791617479
4.0,0.77,0.105486708615,0.808172437648
5.0,0.77,0.108911504878,0.819047755243
1.0,0.78,0.103917098366,0.798129915243
2.0,0.78,0.104440613388,0.802656616861
3.0,0.78,0.102852957258,0.808494448705
4.0,0.78,0.0999335289373,0.7952523412
5.0,0.78,0.102030696339,0.808218078781
1.0,0.79,0.108716218203,0.808630822602
2.0,0.79,0.10300301184,0.784623244455
3.0,0.79,0.104980257369,0.798986886818
4.0,0.79,0.104088994885,0.805587558205
5.0,0.79,0.104550472331,0.798380223289
1.0,0.8,0.10433434743,0.812955338606
2.0,0.8,0.103346318224,0.8082191759
3.0,0.8,0.10209416122,0.803096742172
4.0,0.8,0.108366369954,0.812232423037
5.0,0.8,0.107450466246,0.8112142449
1.0,0.81,0.110261116905,0.814648122206
2.0,0.81,0.105686390403,0.797735302394
3.0,0.81,0.104776836101,0.817799128958
4.0,0.81,0.103332551684,0.802166873271
5.0,0.81,0.10460895302,0.792401399242
1.0,0.82,0.103887074995,0.797032739757
2.0,0.82,0.0996610078222,0.810589577866
3.0,0.82,0.101864922674,0.793272582424
4.0,0.82,0.103485392839,0.787408300766
5.0,0.82,0.10221513464,0.803121482565
1.0,0.83,0.102346707243,0.811497057994
2.0,0.83,0.108819014343,0.786181144824
3.0,0.83,0.1026649788,0.815205462304
4.0,0.83,0.106169051642,0.802498980246
5.0,0.83,0.109242780737,0.820621458565
1.0,0.84,0.106537343898,0.822235010318
2.0,0.84,0.101770609742,0.783125657055
3.0,0.84,0.107862641787,0.823322005105
4.0,0.84,0.107632209197,0.833653310819
5.0,0.84,0.10987275572,0.806216534447
1.0,0.85,0.106656846662,0.793335016732
2.0,0.85,0.104353023299,0.805501147827
